name,link,monWT,tueWT,wedWT,thuWT,friWT,satWT,sunWT,avgBill,rating,rateAmount,adress,distMetro,metro,photoAmount,menuPositions,reviewsAmount
Армянский Дом,https://yandex.com/maps/org/armyanskiy_dom/166903702287/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,2000-2000,4.5,1578,"ул. Шаболовка, 2, стр. 1, Москва",340,Октябрьская,80,25,665
Арома,https://yandex.com/maps/org/aroma/199428355782/,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,1200-1500,4.9,183,"ул. Большая Дмитровка, 8, стр. 1, Москва",281,Охотный Ряд,161,194,143
Ароматная река,https://yandex.com/maps/org/aroma_reka/1124459209/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,470-1300,4.3,661,"наб. Академика Туполева, 15, корп. 2, Москва",1,Бауманская,191,36,310
АромаКафе ЭплКрим,https://yandex.ru/maps/org/aromakafe_eplkrim/130758995385/,09:00–19:30,09:00–19:30,09:00–19:30,09:00–19:30,09:00–19:30,10:00–19:30,Выходной,1800,5.0,94,"Люсиновская ул., 36, стр. 2, Москва",670,Серпуховская,146,87,65
Ароматная река,https://yandex.ru/maps/org/aromatnaya_reka/1124459209/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,470-1300,4.3,661,"наб. Академика Туполева, 15, корп. 2, Москва",1,Бауманская,191,36,310
Арт-Кафе Рукав,https://yandex.ru/maps/org/art_kafe_rukav/1031055214/,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,1500-3500,4.9,4891,"ул. Земляной Вал, 59, стр. 2, Москва",850,Таганская,539,негры,2296
Artelli,https://yandex.ru/maps/org/artelli/157479418061/,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,350-1500,5.0,1719,"ул. Архитектора Щусева, 2, корп. 1, Москва",860,ЗИЛ,157,0,813
Arts Palace,https://yandex.com/maps/org/arts_palace/1164431032/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,Выходной,Выходной,2500-3500,4.4,135,"Успенский пер., 3, стр. 4, Москва",470,Пушкинская,45,0,52
Аруба,https://yandex.ru/maps/org/aruba/1187587391/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,2500-3000,4.7,1707,"Народная ул., 4, стр. 1, Москва",124,Таганская,438,61,927
Асакуса,https://yandex.com/maps/org/asakusa/137819504531/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,,5.0,337,"ул. Калинина, 8, Реутов",1,Новокосино,162,61,254
